City,Latitude,Longitude
Panaji,15.48,73.83
Nadiad,22.7,72.87
Kanniyakumari,8.091111111,77.541666666
Madurai,9.919661111,78.119394444
Leh,34.164166666,77.584722222
Kohima,25.666666666,94.119444444
Solapur,17.670277777,75.901111111
Gurgaon,28.466666666,77.033333333
Bhilai,21.21,81.38
Saharanpur,29.964,77.546
Jaisalmer,26.916666666,70.916666666
Bhavnagar,21.765,72.136944444
Bhavnagar,21.77445,72.1525
Jhansi,25.44862,78.56962
Dhanbad,23.79278,86.435
Sambhal,28.585197,78.570932
Gaya,24.75,85.016666666
Kodaikanal,10.233333333,77.483333333
Jammu,32.733333333,74.85
Jammu,32.73569,74.86911
Singrauli,24.11,82.39
Moga,30.816666666,75.17
Siddipet,18.1,78.85
Amravati,20.933333333,77.75
Belgaum,15.856944444,74.504444444
Dispur,26.15,91.77
Haridwar,29.966666666,78.166666666
Noida,28.57,77.32
Cuddalore,11.75,79.75
Yavatmal,20.4,78.133333333
Vellore,12.933333333,79.133333333
Valsad,20.633333333,72.933333333
Surendranagar,22.725,71.633333333
Kurichi,10.96,77.01
Ettimadai,10.898055555,76.900277777
Basavanagudi,12.94,77.57
Podanur,10.95,76.983333333
Jigani,12.46,77.38
Madipakkam,12.964869444,80.196111111
Maduravoyal,13.0675,80.1632
Choolaimedu,13.0628,80.2275
Arumbakkam,13.073538888,80.206388888
Saidapet,13.0235,80.2237
Arekere,12.89,77.6
Paldi,23.006111111,72.564722222
Tharamani,12.9786,80.2409
Chamrajpet,12.95,77.55
Hebbal,13.04,77.59
Hulimavu,12.87,77.6
Banaswadi,13.015,77.652
Vikhroli,19.11,72.94
Vidyaranyapura,13.076,77.558
Kalamboli,19.03333,73.1
Pashan,18.535277777,73.782777777
Jamnagar,22.47,70.07
Mumbai,19.075833333,72.8775
Bengaluru,12.9791198,77.5912997
Nagpur,21.149722222,79.080555555
Pune,18.521111111,73.855277777
Kochi,9.966666666,76.283333333
Mumbai,19.075833333,72.8775
Kolkata,22.5675,88.37
Delhi,28.666666666,77.216666666
Bengaluru,12.9791198,77.5912997
Hyderabad,17.361666666,78.474722222
Bhararisain,30.0981215,79.2651987
Mumbai,19.075833333,72.8775
Kolkata,22.5675,88.37
Delhi,28.666666666,77.216666666
Bengaluru,12.9791198,77.5912997
Bengaluru,12.9791198,77.5912997
Itanagar,27.1,93.62
Nizamabad,18.671997222,78.094
Thanjavur,10.787,79.137806
Gandhidham,23.068055555,70.128333333
Thoothukudi,8.783333333,78.133333333
Agra,27.18,78.02
Chandigarh,30.736388888,76.788333333
Hassan,13.005,76.102777777
Amritsar,31.626917,74.87704
Satna,24.598351185,80.828125281
Kakinada,16.933333333,82.216666666
Latur,18.39721,76.56784
Latur,18.4,76.583333333
Nellore,14.433333333,79.966666666
Navi Mumbai,19.03,73.01
Kanpur,26.4725,80.331111111
Varanasi,25.318888888,83.012777777
Patna,25.61,85.141388888
Bhopal,23.258888888,77.4125
Shimla,31.103333333,77.172222222
Visakhapatnam,17.693888888,83.292222222
Greater Cochin,9.966666666,76.25
Raipur-Bhilai-Durg Tri City Metro area,20.9167,82.0
Panipat,29.3875,76.97
Gwalior,26.2125,78.1775
Prayagraj,25.45,81.85
Tiruvannamalai,12.25,79.08333333
Thrissur,10.52,76.21
Thiruvananthapuram,8.4875,76.9525
Bhubaneswar,20.295,85.825
Katni,23.48,80.12
Khajuraho,24.85,79.933333333
Fatehpur Sikri,27.091111111,77.661111111
Ayodhya,26.799166666,82.204444444
Gangtok,27.33,88.62
Dharamshala,32.215277777,76.318611111
Aizawl,23.733333333,92.716666666
Zirakpur,30.65,76.82
New Town,22.5894,88.4748
Manjummel,10.08,76.5
Kozhikode,11.247777777,75.780277777
Kadapa,14.466666666,78.816666666
Jalna,19.833333333,75.883333333
Jalgaon,21.016666666,75.566666666
Sikar,27.611944444,75.139722222
Jalandhar,31.325555555,75.579166666
Hubballi,15.355,75.136175
